College,Degree,GradYear,AssignedGiftOfficer,Spouse,Email,PhoneNumber,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,TotalGiving,FY21,FY20,FY19,FY18,FY17
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,412,198,0,0,36,50
College for Men,Bachelor of Arts,1959,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Seminary,Bachelor of Arts,1959,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1959,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,56,0,0,0,0,0
College for Men,Bachelor of Arts,1959,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,669,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20250,0,0,0,0,0
College for Men,Bachelor of Arts,1959,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,4030,0,1000,1800,360,360
College for Men,Bachelor of Arts,1959,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,672,0,0,100,100,36
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,5300,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,22631,1800,1800,2263,1886,1880
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,36,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,6266,100,0,0,0,0
College for Women,Bachelor of Arts,1959,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
Seminary,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,150,0,50,0,25,75
College for Women,Bachelor of Arts,1959,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,316,0,136,80,100,0
College for Women,Bachelor of Arts,1959,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0
College for Men,Bachelor of Arts,1959,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33940,0,0,0,0,180
College for Women,Bachelor of Arts,1959,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100216,0,0,0,0,0
College for Men,Bachelor of Arts,1959,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1959,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,71015,1000,0,200,11800,100
College for Men,Bachelor of Arts,1959,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,48589,15064,6800,1800,2500,1800
