College,Degree,50s,60s,70s,80s,90s,2000s,2010s,2020s,AssignedGiftOfficer,Spouse,Email,Phone Number,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,LifetimeGiving,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,FY13,FY12,FY11,FY10,FY09,FY08,FY07,FY06,FY05,FY04,FY03,FY02
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,180,0,0,100,250,160,50,10,575,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,350,250,225,180,0,0,0,0,0,0,0,0,0,100
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,350,250,225,180,0,0,0,0,0,0,0,0,0,100
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1323,0,0,0,0,10,0,0,0,0,0,0,10,0,75,0,10,20,0,43,30
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,10,0,0,0,0,0,0,10,0,75,0,10,20,0,43,30
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1321,0,100,230,100,280,0,0,50,0,0,0,0,75,0,0,0,180,0,0,36
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1320,480,150,390,102,30,0,0,0,25,10,10,0,0,38,0,20,20,30,5,10
College for Women,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1320,0,0,600,360,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0
